City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,79.21,75,7,10.27,PF,1616521508
1,George Town,5.4112,100.3354,78.8,94,20,1.14,MY,1616521508
2,Bluff,-46.6,168.3333,53.01,98,95,4.7,NZ,1616521509
3,Dikson,73.5069,80.5464,-21.71,99,50,6.85,RU,1616521509
4,Waingapu,-9.6567,120.2641,78.19,84,95,5.03,ID,1616521509
5,Chui,-33.6971,-53.4616,73.83,59,31,8.72,UY,1616521510
6,Bud,39.447,-86.1758,63.0,57,96,16.71,US,1616521510
7,Vila Franca do Campo,37.7167,-25.4333,55.4,88,40,17.27,PT,1616521510
8,Vaini,-21.2,-175.2,71.6,100,75,2.3,TO,1616521511
9,Scottsbluff,41.8666,-103.6672,44.6,76,1,20.71,US,1616521511
10,Mataura,-46.1927,168.8643,53.01,98,100,1.36,NZ,1616521511
11,Honningsvåg,70.9821,25.9704,35.6,64,90,54.09,NO,1616521512
12,Saskylakh,71.9167,114.0833,-38.18,100,49,5.7,RU,1616521512
13,Ushuaia,-54.8,-68.3,48.2,87,75,1.74,AR,1616521512
14,Nikolskoye,59.7035,30.7861,37.4,52,90,11.18,RU,1616521512
15,Tiksi,71.6872,128.8694,-26.0,100,100,4.94,RU,1616521513
16,Kommunisticheskiy,61.6789,64.4819,24.22,95,100,6.98,RU,1616521513
17,Ust-Nera,64.5667,143.2,-7.92,97,100,6.6,RU,1616521513
18,Puerto Ayora,-0.7393,-90.3518,82.0,83,75,4.97,EC,1616521514
19,Mar del Plata,-38.0023,-57.5575,73.4,60,40,8.05,AR,1616521500
20,Manuk Mangkaw,4.8,119.85,82.2,75,84,6.89,PH,1616521514
21,Karchaghbyur,40.1705,45.5779,39.99,80,100,8.25,AM,1616521514
22,Arrondissement de Saint-Denis,48.9167,2.3333,55.4,47,0,4.61,FR,1616521515
23,Busselton,-33.65,115.3333,51.01,94,0,1.01,AU,1616521515
24,Svidník,49.3082,21.5703,37.99,96,94,4.0,SK,1616521515
25,Saint Paul Harbor,57.79,-152.4072,32.0,74,1,6.91,US,1616521516
26,Cape Town,-33.9258,18.4232,78.01,64,0,13.8,ZA,1616521516
27,Punta Arenas,-53.15,-70.9167,50.0,76,75,10.36,CL,1616521516
28,Matara,5.9485,80.5353,77.58,87,100,9.31,LK,1616521269
29,Mogadishu,2.0371,45.3438,80.04,78,7,18.57,SO,1616521330
30,Vung Tau,10.346,107.0843,80.11,81,91,15.35,VN,1616521517
31,São João da Barra,-21.6403,-41.0511,87.8,55,40,9.22,BR,1616521517
32,Cherskiy,68.75,161.3,2.97,95,100,7.23,RU,1616521517
33,Lamesa,32.7376,-101.951,63.0,31,1,4.61,US,1616521518
34,Port Augusta,-32.5,137.7667,57.2,94,40,6.91,AU,1616521518
35,Berlevåg,70.8578,29.0864,32.0,93,90,40.29,NO,1616521518
36,Kayerkan,69.3497,87.7602,-5.19,94,100,7.81,RU,1616521518
37,Sitka,57.0531,-135.33,37.4,93,90,11.5,US,1616521519
38,Jamestown,42.097,-79.2353,59.0,25,1,10.4,US,1616521519
39,Port Alfred,-33.5906,26.891,69.44,72,20,18.01,ZA,1616521519
40,Mwanza,-2.5167,32.9,74.12,64,92,1.88,TZ,1616521456
41,Atuona,-9.8,-139.0333,80.65,67,14,20.18,PF,1616521520
42,Bengkulu,-3.8004,102.2655,75.29,89,100,6.2,ID,1616521333
43,Codrington,-38.2667,141.9667,61.14,94,100,16.78,AU,1616521520
44,Kaitangata,-46.2817,169.8464,52.79,93,100,3.58,NZ,1616521520
45,Englewood,39.6478,-104.9878,42.01,52,75,17.27,US,1616521520
46,Hong Kong,22.2855,114.1577,68.0,73,100,8.81,HK,1616521225
47,Kruisfontein,-34.0033,24.7314,69.01,76,0,5.99,ZA,1616521521
48,Cefalù,38.0386,14.0229,50.0,59,100,10.0,IT,1616521521
49,Butaritari,3.0707,172.7902,80.89,80,40,21.25,KI,1616521521
50,Hobart,-42.8794,147.3294,63.0,94,75,5.75,AU,1616521502
51,East London,-33.0153,27.9116,68.0,77,20,10.36,ZA,1616521522
52,Upernavik,72.7868,-56.1549,-7.96,87,100,9.62,GL,1616521522
53,Doka,13.5167,35.7667,95.97,12,16,7.2,SD,1616521522
54,Tuktoyaktuk,69.4541,-133.0374,-7.6,71,20,19.57,CA,1616521522
55,New Norfolk,-42.7826,147.0587,63.0,78,100,1.01,AU,1616521523
56,Narsaq,60.9167,-46.05,24.8,46,20,3.44,GL,1616521523
57,Avarua,-21.2078,-159.775,80.6,89,20,8.05,CK,1616521523
58,Morro Bay,35.3658,-120.8499,60.01,75,0,5.99,US,1616521267
59,Albany,42.6001,-73.9662,64.99,16,23,6.02,US,1616521441
60,Vila Velha,-20.3297,-40.2925,87.8,62,20,10.36,BR,1616521524
61,Provideniya,64.3833,-173.3,13.93,95,100,11.56,RU,1616521524
62,Sabang,5.8933,95.3214,83.61,72,52,17.54,ID,1616521524
